Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Spyware-180solutions,39,15,11.41025641,0,220.7692308,1563,40.07692308,8610,220.7692308,0,642,3003,42,656,830,99,640,120,177,259,47,85,47,0.02921069,0.052827843,0.02921069,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,86,0,8
Spyware-180solutions,37,15,10.13513514,0,214.9189189,1446,39.08108108,7952,214.9189189,0,626,2812,40,668,663,92,594,113,162,230,42,78,42,0.028846154,0.053571429,0.028846154,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0,8
Spyware-180solutions,39,15,10.71794872,0,217.6410256,1552,39.79487179,8488,217.6410256,0,642,2967,42,656,777,99,634,120,177,259,47,85,47,0.029411765,0.053191489,0.029411765,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,86,0,8
Spyware-180solutions,41,16,10.07317073,0,210.097561,1615,39.3902439,8614,210.097561,0,645,3006,44,670,754,103,643,126,181,267,46,86,46,0.027710843,0.051807229,0.027710843,3,3,18,1.0,4,0,4,4,8,6,10,0.088888889,0.0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,389,221,26,24,116,0,122,86,0,8
Spyware-180solutions,40,16,9.85,0,208.55,1557,38.925,8342,208.55,0,642,2921,43,665,703,101,606,123,178,262,45,84,45,0.028125,0.0525,0.028125,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,86,0,8
Spyware-180solutions,40,16,9.8,0,208.325,1557,38.925,8333,208.325,0,643,2915,43,665,697,101,606,123,178,262,45,84,45,0.028230866,0.052697616,0.028230866,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,86,0,8
Spyware-180solutions,39,15,10.0,0,210.4871795,1522,39.02564103,8209,210.4871795,0,639,2882,42,660,692,100,598,119,176,257,44,82,44,0.02833226,0.05280103,0.02833226,3,3,18,1.0,7,0,7,7,11,9,13,0.152173913,0.0,0.152173913,0.152173913,0.239130435,0.195652174,0.282608696,138,389,221,26,24,116,0,121,86,0,8
Spyware-180solutions,38,15,10.07894737,0,214.4736842,1493,39.28947368,8150,214.4736842,0,635,2857,41,679,683,98,598,116,176,252,44,81,44,0.029042904,0.053465347,0.029042904,3,3,18,1.0,4,0,4,4,8,6,10,0.095238095,0.0,0.095238095,0.095238095,0.19047619,0.142857143,0.238095238,138,389,221,26,24,116,0,119,86,0,8
Spyware-180solutions,38,15,10.07894737,0,214.2631579,1493,39.28947368,8142,214.2631579,0,637,2854,41,679,683,98,598,116,176,252,44,81,44,0.029158383,0.053677932,0.029158383,3,3,18,1.0,3,0,3,3,7,5,9,0.073170732,0.0,0.073170732,0.073170732,0.170731707,0.12195122,0.219512195,138,389,221,26,24,116,0,119,86,0,8
Spyware-180solutions,37,15,10.24324324,0,215.2162162,1446,39.08108108,7963,215.2162162,0,626,2815,40,668,669,92,594,113,162,230,42,78,42,0.028826356,0.05353466,0.028826356,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0,8
Spyware-180solutions,44,17,10.34090909,0,201.1363636,1647,37.43181818,8850,201.1363636,0,670,3073,47,702,844,108,649,120,180,262,52,95,52,0.030624264,0.055948174,0.030624264,3,3,18,1.0,3,0,3,3,7,5,9,0.063829787,0.0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,389,221,26,24,116,0,122,87,0,8
Spyware-180solutions,42,17,9.0,0,194.0238095,1529,36.4047619,8149,194.0238095,0,654,2864,45,714,657,101,603,113,165,233,47,88,47,0.030401035,0.056921087,0.030401035,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,389,221,26,24,116,0,119,87,0,8
Spyware-180solutions,46,18,9.5,0,193.7608696,1699,36.93478261,8913,193.7608696,0,673,3103,49,716,804,112,652,126,184,270,51,96,51,0.02915952,0.054888508,0.02915952,3,3,18,1.0,3,0,3,3,7,5,9,0.06122449,0.0,0.06122449,0.06122449,0.142857143,0.102040816,0.183673469,138,389,221,26,24,116,0,122,87,0,8
Spyware-180solutions,46,18,8.913043478,0,190.8913043,1690,36.73913043,8781,190.8913043,0,673,3050,49,716,734,112,649,126,184,270,50,95,50,0.0287687,0.054660529,0.0287687,3,3,18,1.0,3,0,3,3,7,5,9,0.06122449,0.0,0.06122449,0.06122449,0.142857143,0.102040816,0.183673469,138,389,221,26,24,116,0,122,87,0,8
Spyware-180solutions,45,18,8.911111111,0,190.2444444,1641,36.46666667,8561,190.2444444,0,670,2981,48,711,708,110,615,123,181,265,50,94,50,0.029673591,0.05578635,0.029673591,3,3,18,1.0,4,0,4,4,8,6,10,0.081632653,0.0,0.081632653,0.081632653,0.163265306,0.12244898,0.204081633,138,389,221,26,24,116,0,122,87,0,8
Spyware-180solutions,44,17,9.0,0,191.6818182,1604,36.45454545,8434,191.6818182,0,668,2945,47,706,700,109,607,119,179,259,49,92,49,0.029896278,0.056131788,0.029896278,3,3,18,1.0,5,0,5,5,9,7,11,0.102040816,0.0,0.102040816,0.102040816,0.183673469,0.142857143,0.224489796,138,389,221,26,24,116,0,121,87,0,8
Spyware-180solutions,43,17,9.093023256,0,193.3023256,1567,36.44186047,8312,193.3023256,0,662,2905,46,702,692,107,601,116,178,252,49,91,49,0.03079824,0.057196732,0.03079824,3,3,18,1.0,6,0,6,6,10,8,12,0.12244898,0.0,0.12244898,0.12244898,0.204081633,0.163265306,0.244897959,138,389,221,26,24,116,0,119,87,0,8
Spyware-180solutions,43,17,9.186046512,0,194.9534884,1576,36.65116279,8383,194.9534884,0,665,2924,46,725,699,107,607,116,179,255,49,91,49,0.03068253,0.056981841,0.03068253,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,119,87,0,8
Spyware-180solutions,43,17,9.162790698,0,194.6976744,1576,36.65116279,8372,194.6976744,0,667,2925,46,725,694,107,607,116,179,255,49,91,49,0.030721003,0.057053292,0.030721003,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,119,87,0,8
Spyware-180solutions,42,17,9.071428571,0,194.5952381,1529,36.4047619,8173,194.5952381,0,655,2874,45,714,666,101,603,113,164,233,47,88,47,0.030401035,0.056921087,0.030401035,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,389,221,26,24,116,0,119,87,0,8
Spyware-180solutions,22,8,16.5,0,238.9090909,919,41.77272727,5256,238.9090909,0,413,1677,23,331,602,61,372,85,69,170,19,40,19,0.020277481,0.042689434,0.020277481,1,1,6,1.0,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.181818182,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,29,10,12.37931034,0,256.7586207,1316,45.37931034,7446,256.7586207,0,545,2635,32,582,631,79,606,112,147,240,31,59,31,0.023031204,0.043833581,0.023031204,2,2,12,1.0,1,0,1,1,5,3,7,0.033333333,0.0,0.033333333,0.033333333,0.166666667,0.1,0.233333333,138,389,221,26,24,116,0,117,88,0,8
Spyware-180solutions,22,8,16.36363636,0,241.9545455,924,42.0,5323,241.9545455,0,480,1674,23,331,604,61,372,85,70,170,19,40,19,0.020169851,0.042462845,0.020169851,1,1,6,1.0,1,0,1,1,5,3,5,0.043478261,0.0,0.043478261,0.043478261,0.217391304,0.130434783,0.217391304,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,22,8,16.45454545,0,242.9545455,926,42.09090909,5345,242.9545455,0,482,1693,23,339,607,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,22,8,15.09090909,0,235.3181818,926,42.09090909,5177,235.3181818,0,473,1653,23,339,567,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,22,8,13.31818182,0,227.3181818,926,42.09090909,5001,227.3181818,0,473,1589,23,339,461,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,22,8,13.59090909,0,232.2727273,929,42.22727273,5110,232.2727273,0,477,1672,23,342,479,61,372,85,72,170,21,42,21,0.022128556,0.044257113,0.022128556,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0,8
Spyware-180solutions,24,8,14.125,0,252.9166667,1081,45.04166667,6070,252.9166667,0,505,2046,25,415,573,65,473,95,83,199,23,46,23,0.020852221,0.041704442,0.020852221,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.166666667,0.083333333,0.208333333,138,389,221,26,24,116,0,116,88,0,8
Spyware-180solutions,24,8,13.66666667,0,250.1666667,1081,45.04166667,6004,250.1666667,0,504,2015,25,415,548,65,473,95,83,199,23,46,23,0.020852221,0.041704442,0.020852221,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.166666667,0.083333333,0.208333333,138,389,221,26,24,116,0,116,88,0,8
Spyware-180solutions,28,10,13.21428571,0,262.7142857,1270,45.35714286,7356,262.7142857,0,536,2626,31,570,647,73,602,109,129,218,29,56,29,0.022342065,0.043143297,0.022342065,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.142857143,0.071428571,0.178571429,138,389,221,26,24,116,0,117,88,0,8
Spyware-180solutions,42,16,10.76190476,0,209.2380952,1621,38.5952381,8788,209.2380952,0,667,3060,45,679,840,105,648,120,178,261,51,92,51,0.030520646,0.055056852,0.030520646,4,4,24,1.0,3,0,3,3,7,5,9,0.066666667,0.0,0.066666667,0.066666667,0.155555556,0.111111111,0.2,138,389,221,26,24,116,0,122,87,0,8
Spyware-180solutions,40,16,9.525,0,204.1,1504,37.6,8164,204.1,0,651,2870,43,691,704,98,602,113,163,232,46,85,46,0.03030303,0.05599473,0.03030303,4,4,24,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,389,221,26,24,116,0,119,87,0,8
